Scholarship_Name,Organization,Eligibility,Award_Amount,Deadline_Month
National Merit Scholarship,National Merit Scholarship Corp,Top PSAT scorers in the US,"$2,500",October
Coca-Cola Scholars Program,Coca-Cola Scholars Foundation,High school seniors with leadership and service,"$20,000",October
Gates Scholarship,The Bill & Melinda Gates Foundation,Pell-eligible minority high school seniors,"Full Cost of Attendance",September
Jack Kent Cooke Scholarship,Jack Kent Cooke Foundation,High-achieving seniors with financial need,"Up to $55,000/year",November
Equitable Excellence Scholarship,Equitable Excellence,Students demonstrating courage and leadership,"$2,500 - $25,000",December
Burger King Scholars,Burger King Foundation,High school seniors with 2.5+ GPA,"$1,000 - $50,000",December
Elks Most Valuable Student,Elks National Foundation,High school seniors based on leadership/need,"$1,000 - $12,500/year",November
GE-Reagan Foundation Scholarship,Ronald Reagan Presidential Foundation,High school seniors with leadership/character,"$10,000/year",January
Jackie Robinson Foundation,Jackie Robinson Foundation,Minority high school seniors with leadership,"Up to $35,000 over 4 years",January
Davidson Fellows Scholarship,Davidson Institute,Students under 18 with significant work,"$10,000 - $50,000",February
National Honor Society Scholarship,National Honor Society,NHS members in good standing,"$3,200 - $25,000",November
Prudential Spirit of Community,Prudential Financial,Middle/High schoolers with volunteer work,"$1,000 - $5,000",November
Horatio Alger Scholarship,Horatio Alger Association,High school seniors with financial need/adversity,"$10,000 - $25,000",October
Ron Brown Scholar Program,Ron Brown Scholar Program,Black/African American high school seniors,"$10,000/year",January
Asian & Pacific Islander American Scholarship,APIA Scholars,Asian/Pacific Islander seniors with need,"$2,500 - $20,000",January
Hispanic Scholarship Fund,Hispanic Scholarship Fund,Hispanic high school seniors with 3.0+ GPA,"$500 - $5,000",February
Science Ambassador Scholarship,Cards Against Humanity,Women in STEM fields,"Full Tuition",December
Google Generation Scholarship,Google,High school seniors pursuing CS degrees,"$10,000",December
Amazon Future Engineer Scholarship,Amazon,High school seniors pursuing CS degrees,"$40,000 + Internship",January
Lockheed Martin STEM Scholarship,Lockheed Martin,High school seniors in STEM majors,"$10,000/year",March
Foot Locker Scholar Athletes,Foot Locker,High school athletes with 3.0+ GPA,"$20,000",January
Dr. Pepper Tuition Giveaway,Dr. Pepper,Students aged 18-24 with a video entry,"Up to $100,000",October
Taco Bell Live Más Scholarship,Taco Bell Foundation,Students with a passion/creative entry,"$5,000 - $25,000",January
Voice of Democracy,Veterans of Foreign Wars,High school students with audio essay,"Up to $35,000",October
JFK Profile in Courage Essay,JFK Library Foundation,High school students with original essay,"Up to $10,000",January
College Board Opportunity Scholarships,College Board,High school students completing steps,"$500 - $40,000",Varies
QuestBridge National College Match,QuestBridge,High-achieving low-income seniors,"Full 4-year Scholarship",September
Posse Foundation Scholarship,The Posse Foundation,High school seniors with leadership potential,"Full Tuition",September
Terry Foundation Scholarship,Terry Foundation,Texas high school seniors with leadership,"Full Ride",Varies
Hope Scholarship (State-specific),State of Georgia,Georgia residents with 3.0+ GPA,"Varies",Varies
Bright Futures Scholarship (State-specific),State of Florida,Florida residents with 3.0+ GPA,"Varies",Varies
Cal Grant (State-specific),State of California,California residents with financial need,"Varies",March
Excelsior Scholarship (State-specific),State of New York,New York residents with family income <$125k,"Full Tuition",Varies
